100 270
1 14 -2
1 78 -5
2 91 -1
2 58 -3
2 32 4
3 92 2
4 15 1
4 8 -1
4 86 -1
4 71 2
5 22 -3
5 51 -5
5 49 -2
6 63 2
7 64 1
7 33 2
8 82 -3
8 41 0
8 33 -2
8 92 0
8 39 1
9 99 3
10 57 3
10 1 1
10 42 -2
10 61 -2
11 32 4
11 84 -2
11 64 -3
12 4 -1
12 22 -2
12 40 -5
12 90 -2
12 72 2
13 42 1
13 7 3
13 61 4
13 29 3
13 95 -4
14 40 2
14 75 0
14 31 -1
14 91 -5
14 78 3
15 28 3
15 23 1
16 80 -1
16 44 -1
16 55 2
16 76 3
17 73 1
17 41 -5
17 50 0
17 5 -5
18 47 2
18 72 0
18 50 4
19 82 -4
20 73 -3
20 70 -5
20 90 -2
20 33 0
21 94 0
22 97 -3
23 97 3
24 69 3
24 22 -4
24 27 3
25 7 -4
26 23 -5
26 49 2
26 54 0
27 79 1
27 93 -5
27 63 1
27 50 3
28 99 4
28 69 3
28 42 0
29 7 -4
29 85 4
29 14 4
30 56 4
30 82 1
30 51 -2
31 94 1
32 42 2
32 90 -5
33 6 -2
33 27 -3
33 29 -4
33 60 -3
34 15 -1
35 56 -2
36 69 -4
37 77 2
38 14 -1
38 84 4
38 27 -1
39 6 -5
39 92 -2
40 45 4
41 98 4
41 100 2
41 99 -5
41 4 2
41 10 -5
42 59 -4
42 100 -1
43 15 -5
44 93 1
44 47 0
44 92 2
44 16 3
45 17 3
45 62 2
45 65 -2
46 56 3
46 83 3
46 30 -2
46 19 3
46 39 -4
47 74 3
47 78 2
47 32 -4
48 91 -1
48 31 -4
49 85 -2
50 85 -2
50 59 1
50 70 2
50 18 -1
51 9 -2
51 44 -3
52 8 -4
53 5 -1
53 100 -2
54 17 2
54 81 -3
54 20 0
55 25 4
55 29 0
55 1 3
55 78 -5
55 93 0
56 38 -5
57 72 -4
57 53 -2
58 54 -1
59 3 3
60 67 -4
61 96 1
61 79 2
62 55 -5
63 32 -3
63 87 -4
63 38 -1
63 49 0
63 30 -3
64 55 -4
64 59 3
64 68 -2
65 87 -5
65 24 1
65 39 -5
65 10 -4
65 69 1
66 47 -1
66 81 -3
66 54 -1
67 45 3
68 94 -3
68 29 3
68 44 1
68 67 -4
68 15 -2
69 84 0
69 47 -3
69 22 3
69 32 -2
70 60 -5
71 58 -2
71 70 -3
71 9 -3
71 23 2
72 92 -4
72 95 4
72 90 -5
72 94 -2
72 51 4
73 26 -2
73 97 0
73 76 4
74 75 -3
75 85 -4
75 28 -4
75 76 3
75 78 1
75 86 -5
76 51 -3
76 6 3
76 79 4
76 27 4
77 69 -4
77 19 0
77 16 0
77 41 -4
77 50 4
78 25 -1
79 83 3
79 2 -5
79 40 -1
80 63 1
81 17 1
81 79 -2
81 15 0
82 44 -1
82 25 -2
82 7 1
82 53 -1
82 70 -3
83 58 -1
83 20 0
84 69 4
84 50 4
85 2 -1
85 67 -4
85 29 0
86 70 4
87 9 1
87 22 2
87 20 -4
87 23 4
88 45 4
89 37 4
89 70 3
90 44 2
90 57 4
90 14 4
90 67 -1
91 4 1
91 34 -4
92 78 3
92 32 -3
92 81 4
92 12 -5
92 43 -3
93 53 -5
93 35 3
93 57 0
93 2 -4
93 94 4
94 17 1
95 65 3
95 85 -2
96 94 0
96 72 -5
97 15 2
97 80 -5
97 30 1
98 39 0
98 81 0
98 77 -1
98 93 4
99 82 4
99 42 -5
99 80 4
99 78 2
100 47 -5
100 35 0
